# Pulse programs cited in doc/ppcatalogue-2.pdf (Parella, NMRGuide Vol. II, TopSpin 3.0)
# columns: pulseprogram  parameterset(as printed in catalogue, '-' if not given)
b_hncacbgp3d	B_HNCACBGP3D
na_hcchfwdigp3d	NA_HCCHFWDIGP3D
na_hccnhdigpwg3d	NA_HCCNHDIGPWG3D
na_hcncchcomq3d	-
na_hcncchdimq3d	-
na_hcnchgpjrphsp	NA_HCNCHGPJRPHSP
na_hcnchgpmqsp3d	-
na_hcnetgpsi3d	NA_HCNETGPSI3D
na_hcnetgpsisp3d	NA_HCNETGPSISP3D
na_hcnhgpph19	NA_HCNHGPPH19
na_hcnmq3d	-
na_hcnmqgpphpr	NA_HCNMQGPPHPR
na_hcnmqsp3d	-
na_hcpdietgp3d	-
na_hcpdietgpsi3d	NA_HCPDIETGPSI3D
na_hcpdigp3d	-
na_hcpdigpjr3d	-
na_hcpetgpsi3d	NA_HCPETGPSI3D
na_hcpqetgpsi.1	-
na_hcpqetgpsi.2	-
na_hnc6c5etgpsi	-
na_hncch3d	-
na_hnncosygpphspwg	-
na_hnncosygpphwg	NA_HNNCOSYGPPHWG
na_hpccoctetf3gp3d	-
na_hpccoetf3gp3d	-
na_hpcctco3d	-
na_hpcosyphpr	NA_HPCOSYPHPR
na_hpctco	-
na_hpctcojr	-
na_hpdi	-
na_hpdico3d	-
na_hpdino	-
na_hpdino19	-
na_hpdino193d	-
na_hpdino3d	-
na_hsqcetf3gpxy	-
na_hsqcetgpjcsp	NA_HSQCETGPJCSP
na_hsqcf3gpjrphxy	-
na_hsqcf3gpnophxy	-
na_noesyhsqcctetgp3d	-
na_noesyhsqcf3gpwg3d	-
na_pcchco	-
na_pcchdi	-
na_pcchdi2	-
na_pfidsetgpsi	-
na_trhcchco3d	-
na_trhcnchmqsp3d	-
na_trhcnchmqspwg3d	-
na_trhcnchmqspwg3d2	-
na_trhcnet	-
na_trhcnetsi3d	-
na_trhcnph	-
na_trhcnph3d	-
na_trhnncosygpphspwg	-
na_xhcoctetf3gp	-
na_xhcoetf3gp	-
noesycngp3d	NOESYCNGP3D
noesyf3gpphxf19	-
noesyfpgpphwg	-
noesygpphprxf	-
noesygpphwgx1	-
noesygpphwgx2	-
noesygpphwgxf	-
noesygpphwgxf.2	-
noesygpphxf19	-
noesyhmqcf3gpph3d	-
noesyhmqcpr3d	-
noesyhsqcedgpsism3d	-
noesyhsqcedgpsm3d	NOESYHSQCEDGPSM3D
noesyhsqcetf3gp3d	NOESYHSQCETF3GP3D
noesyhsqcetgp3d	NOESYHSQCETGP3D
noesyhsqcetgpsi3d	NOESYHSQCETGPSI3D
noesyhsqcf3gp193d	NOESYHSQCF3GP193D
noesyhsqcf3gpsi3d	NOESYHSQCF3GPSI3D
noesyhsqcf3gpwg3d	-
noesyhsqcf3gpwgx13d	-
noesyhsqcfpf3gpsi3d	NOESYHSQCFPF3GPSI3D
noesyhsqcfpf3gpsix13d	-
noesyhsqcgpsismsp3d	NOESYHSQCGPSISMSP3D
noesyhsqcgpsm3d.2	NOESYHSQCGPSM3D.2
noesyhsqcgpwgx13d	-
noesymlev3d	-
noesymlevpr3d	-
noesyncgp3d	NOESYNCGP3D
noesynoesypr3d	-
noesytretf3gp3d	-
noesytrosyargpphwg	-
noesytzgp3d	NOESYTZGP3D
rd_hnca_32	APSY_HNCA_32
rd_hncacb_32	APSY_HNCACB_32
rd_hnco_32	APSY_HNCO_32
rd_hncoca_42	APSY_HNCOCA_42
rd_hncocacb_32	APSY_HNCOCACB_32
rd_hncocanh_62	APSY_HNCOCANH_62
seqtrcbcanhgp3d	SEQTRCBCANHGP3D
seqtrhncacbetgp2h3d	-
seqtrhncacbetgp3d	SEQTRHNCACBETGP3D
seqtrhncacbgp2h3d	SEQTRHNCACBGP2H3D
seqtrhncacbgp3d	SEQTRHNCACBGP3D
seqtrhncaetgp2h3d	-
seqtrhncaetgp3d	SEQTRHNCAETGP3D
seqtrhncagp2h3d	SEQTRHNCAGP2H3D
seqtrhncagp3d	SEQTRHNCAGP3D
sfhmqcf3gpph	SFHMQCF3GPPH
sfhmqcf3gpphiasi	-
trcbcaconhetgp3d	-
trcbcaconhgp3d	TRCBCACONHGP3D
trcbcanhetgp3d	TRCBCANHETGP3D
trcbcanhgp3d	TRCBCANHGP3D
tretexf3gp	-
trhbhaconhetgp3d	-
trhbhaconhgp3d	TRHBHACONHGP3D
trhbhanhetgp3d	TRHBHANHETGP3D
trhbhanhgp3d	TRHBHANHGP3D
trhcccgcbcaconhetgp3d	-
trhcccgcbcaconhgp3d	-
trhccconhetgp3d2	TRHCCCONHETGP3D2
trhccconhetgp3d3	TRHCCCONHETGP3D3
trhccconhetgp3d3.2	-
trhccconhgp3d2	TRHCCCONHGP3D2
trhccconhgp3d3	TRHCCCONHGP3D3
trhccconhgp3d3.2	TRHCCCONHGP3D3.2
trhcchcogp3d	-
trhncacbetgp2h3d	-
trhncacbetgp3d	TRHNCACBETGP3D
trhncacbgp2h3d	TRHNCACBGP2H3D
trhncacbgp3d	TRHNCACBGP3D
trhncacbietgp2h3d	-
trhncacbietgp3d	TRHNCACBIETGP3D
trhncacbigp2h3d	TRHNCACBIGP2H3D
trhncacbigp3d	TRHNCACBIGP3D
trhncacoetgp2h3d	-
trhncacoetgp2h4d	-
trhncacoetgp3d	TRHNCACOETGP3D
